id,name,city,category,discovery_source,rating,rating_count,multisport
549,"Ptačina","Adamov","Posilovna",osm,4.3,6,false
275,"Fitness-relaxační centrum HELENA","Aš","Posilovna",osm,4.9,21,false
276,"TĚLO!cvična","Aš","Posilovna",osm,5,2,false
1794,"Sportovní a relaxační centrum Galaxie","Bakov nad Jizerou","Posilovna",multisport,4.3,368,true
824,"B-fitness club","Benešov","Posilovna",firmy.cz,3.6,347,true
825,"Esporta Fitness Club","Benešov","Posilovna",firmy.cz,4.6,10,true
826,"Fitness PULSE","Benešov","Posilovna",firmy.cz,4.3,235,false
827,"MP art Miroslav Pokorný","Benešov","Posilovna",firmy.cz,,,false
2000,"S-Centrum Benešov","Benešov","Posilovna",multisport,4.3,795,true
2556,"Sport a relax club","Benešov","Posilovna",multisport,4.5,90,true
2795,"B FITNESS – studio zdravého pohybu","Beroun","Posilovna",multisport,4.8,50,true
438,"Bubalus fitness Beroun","Beroun","Posilovna",firmy.cz,5,5,true
1983,"DANIELLABE PoleDance & Fit Studio","Beroun","Pilates",multisport,,,true
813,"FITNESS TYRAN","Beroun","Posilovna",firmy.cz,4.3,133,true
816,"Fitness centrum","Beroun","Posilovna",firmy.cz,4.3,133,true
814,"JUDr. Marcela Bergerová","Beroun","Pilates",firmy.cz,4.6,5,false
815,"MOVE & FOOD","Beroun","Posilovna",firmy.cz,4.9,17,false
50,"NH Fitness","Beroun","Posilovna",firmy.cz,4.8,39,true
1964,"Sport EDEN Beroun","Beroun","Posilovna",multisport,4.7,367,true
1838,"Markéta Hrádková - Bezděkov nad Metují","Bezděkov nad Metují","Jóga",multisport,5,2,true
782,"Fit Plus","Blansko","Posilovna",firmy.cz,4.7,20,true
784,"Studio funkčního tréninku","Blansko","Posilovna",firmy.cz,4.7,6,false
1809,"Tabata Killers","Blansko","Pilates",multisport,4.7,20,true
783,"Uran Gym","Blansko","Posilovna",firmy.cz,4.9,21,true
374,"Sportovní areál Blučina","Blučina","Bazén",osm,4.3,177,true
2686,"Aquacentrum Bohumín","Bohumín","Bazén",multisport,4.5,3220,true
2436,"Bosporka, sportovní a relaxační centrum Bohumín","Bohumín","Posilovna",multisport,4.8,99,true
2290,"Fit - Centrum Darja","Bohumín","Posilovna",multisport,4.7,18,true
1975,"Formuj Bohumín","Bohumín","Pilates",multisport,5,2,true
2509,"Studio KLÁRA 2","Bohumín","Posilovna",multisport,4.2,91,true
1963,"Zumba Bohumín","Bohumín","Pilates",multisport,5,1,true
67,"Posilovna","Borotín","Posilovna",osm,4.4,85,false
2196,"Kruhový trénink - Boršov nad Vltavou","Boršov nad Vltavou","Pilates",multisport,,,true
2162,"Centrum Modrá věž","Boskovice","Posilovna",multisport,3.7,530,true
2041,"Onerep gym","Boskovice","Posilovna",multisport,5,13,true
2333,"Funatic club","Brandýs nad Labem-Stará Boleslav","Posilovna",multisport,4.7,32,true
336,"Levelgym","Brandýs nad Labem-Stará Boleslav","Posilovna",osm,4.7,99,false
2596,"Open Gym","Brandýs nad Labem-Stará Boleslav","Pilates",multisport,4.9,28,true
2520,"Otevřeno Brandýs","Brandýs nad Labem-Stará Boleslav","Posilovna",multisport,4.4,64,true
1747,"Sportcentrum Brandýs","Brandýs nad Labem-Stará Boleslav","Posilovna",multisport,3.4,464,true
2392,"VALE TUDO gym","Brandýs nad Labem-Stará Boleslav","Posilovna",multisport,4.6,105,true
2045,"jóga brandýs: Studio Vrábí","Brandýs nad Labem-Stará Boleslav","Jóga",multisport,4.8,5,true
1366,"119 MMA","Brno","Bojové sporty",places_discovery,5,3,true
45,"AC Fitness","Brno","Posilovna",osm,4.1,24,true
1399,"AFIT Center BRNO","Brno","Posilovna",places_discovery,4.4,155,true
176,"AFIT fitness centrum","Brno","Posilovna",osm,4.4,156,false
1329,"AXON-fit","Brno","Posilovna",places_discovery,5,7,false
2173,"AZ FITNESS Brno","Brno","Posilovna",multisport,4.6,229,true
1344,"Acroyoga K & R","Brno","Jóga",places_discovery,5,4,false
