id,name,city,category,discovery_source,rating,reason
2180,"Centrum zdraví - aquapark","Bohuňovice","Bazén",multisport,4.4,bazen/aquapark
2192,"Aquapark Kohoutovice","Brno","Bazén",multisport,4.3,bazen/aquapark
2140,"Krytý bazén s venkovním koupalištěm Kraví hora","Brno","Bazén",multisport,4.3,bazen/aquapark
2655,"Bazén Bystřice","Bystřice","Bazén",multisport,4.4,bazen/aquapark
2737,"Krytý plavecký bazén Chrudim","Chrudim","Bazén",multisport,4.6,bazen/aquapark
2649,"Krytý bazén a koupaliště Dobruška","Dobruška","Bazén",multisport,4.4,bazen/aquapark
2303,"Krytý a Letní aquapark Olešná","Frýdek-Místek","Bazén",multisport,4.3,bazen/aquapark
2270,"SSRZ Krytý bazén Šumbark","Havířov","Bazén",multisport,3.9,bazen/aquapark
2361,"SSRZ Sportovní hala Slávie a Bazén Delfínek","Havířov","Bazén",multisport,4.7,bazen/aquapark
2442,"Plavecký bazén v Hlinsku","Hlinsko","Bazén",multisport,4.2,bazen/aquapark
2585,"Krytý bazén Hodonín","Hodonín","Bazén",multisport,4.4,bazen/aquapark
1888,"Plavecký bazén Hořice","Hořice","Bazén",multisport,4.5,bazen/aquapark
2589,"Fitness Plovárna","Hranice","Posilovna",multisport,4.9,bazen/aquapark
2524,"Plovárna Hranice","Hranice","Posilovna",multisport,4.5,bazen/aquapark
2115,"Letní koupaliště Hustopeče","Hustopeče","Bazén",multisport,3.7,bazen/aquapark
2092,"Plavecký krytý bazén Hustopeče","Hustopeče","Bazén",multisport,4.3,bazen/aquapark
2576,"Městský plavecký bazén - Jablonec nad Nisou","Jablonec nad Nisou","Bazén",multisport,4.1,bazen/aquapark
2151,"Městský Bazén Karviná (STaRS)","Karviná","Bazén",multisport,4.5,bazen/aquapark
1788,"Krytý bazén Kopřivnice","Kopřivnice","Bazén",multisport,4.4,bazen/aquapark
2281,"Plavecký bazén Kralupy nad Vltavou","Kralupy nad Vltavou","Bazén",multisport,4.3,bazen/aquapark
2689,"Aquapark Kravaře","Kravaře","Bazén",multisport,4.2,bazen/aquapark
2535,"Krytý plavecký bazén Litoměřice","Litoměřice","Bazén",multisport,4.2,bazen/aquapark
2645,"Plavecký bazén Litovel","Litovel","Bazén",multisport,4,bazen/aquapark
1800,"Městské koupaliště Lovosice","Lovosice","Bazén",multisport,4.3,bazen/aquapark
1953,"BAZÉN SOKOLOVNA","Mladá Boleslav","Bazén",multisport,4.7,bazen/aquapark
2063,"Městský krytý bazén Štěpánka","Mladá Boleslav","Bazén",multisport,4.4,bazen/aquapark
1783,"Bazén Modřice","Modřice","Bazén",multisport,4.3,bazen/aquapark
2084,"Koupaliště Mokrák","Mokrá-Horákov","Bazén",multisport,4.3,bazen/aquapark
2824,"Krytý plavecký bazén Mělník","Mělník","Bazén",multisport,4.2,bazen/aquapark
2001,"Bazén Neratovice","Neratovice","Bazén",multisport,,bazen/aquapark
1861,"Koupaliště Nový Bydžov","Nový Bydžov","Bazén",multisport,4.2,bazen/aquapark
1798,"Krytý bazén Nový Jičín","Nový Jičín","Bazén",multisport,4.4,bazen/aquapark
2167,"Relaxační centrum Labe - Bazén Nymburk","Nymburk","Bazén",multisport,3.9,bazen/aquapark
1866,"Plavecký bazén Náchod","Náchod","Bazén",multisport,4.2,bazen/aquapark
2484,"SAREZA Krytý bazén Ostrava - Poruba","Ostrava","Bazén",multisport,4.3,bazen/aquapark
2058,"Bazén Pelhřimov","Pelhřimov","Bazén",multisport,4.3,bazen/aquapark
2756,"Bazén Lochotín","Plzeň","Bazén",multisport,4,bazen/aquapark
2762,"Bazén Slovany – Plavecký areál města Plzně","Plzeň","Bazén",multisport,4.1,bazen/aquapark
1735,"Cvičení pro veřejnost - Bazén Lochotín","Plzeň","Bazén",multisport,4,bazen/aquapark
2816,"Bazén AXA","Praha","Bazén",multisport,4.2,bazen/aquapark
2076,"Bazén Bořislavka","Praha","Bazén",multisport,4.7,bazen/aquapark
2090,"Koupaliště Kolovraty","Praha","Bazén",multisport,4.4,bazen/aquapark
2389,"Plavecký bazén Podolí","Praha","Bazén",multisport,4.2,bazen/aquapark
2569,"Bazén Přimda","Přimda","Bazén",multisport,4.4,bazen/aquapark
2489,"Sportovní zařízení města Příbram - Aquapark","Příbram","Bazén",multisport,3.7,bazen/aquapark
2381,"KRYTÝ BAZÉN ROŽNOV","Rožnov pod Radhoštěm","Bazén",multisport,4.2,bazen/aquapark
1813,"Plavecký bazén RK","Rychnov nad Kněžnou","Bazén",multisport,4.2,bazen/aquapark
1819,"Krytý bazén Skuteč","Skuteč","Bazén",multisport,4.4,bazen/aquapark
2672,"PANDASPORT - Plavecký bazén","Stráž pod Ralskem","Bazén",multisport,3.9,bazen/aquapark
2789,"Sportovní areál - bazén Sušice","Sušice","Bazén",multisport,4.6,bazen/aquapark
654,"Krytý bazén MEBYS Trutnov","Trutnov","Bazén",firmy.cz,4.1,bazen/aquapark
1751,"Bazén Výšinka","Turnov","Bazén",multisport,4.3,bazen/aquapark
2425,"Aquapark Laguna","Třebíč","Bazén",multisport,4.4,bazen/aquapark
